Location,x,y,slug
aphrodites_kome_antaiopolites cluster (27),32.17156,17.88291,aphrodites_kome_antaiopolites
arsinoites cluster (239),31.80305,15.55676,arsinoites
balaizeh cluster (3),21.56757,1.17853,balaizeh
eleira cluster (1),4.99361,8.19326,eleira
hermopolites cluster (88),32.17064,13.88032,hermopolites
koptos cluster (8),26.02534,5.66362,koptos
naboo_apollonopolites_heptakomias cluster (1),15.96177,-1.71214,naboo_apollonopolites_heptakomias
nessana cluster (11),34.66404,14.37332,nessana
obergypten cluster (5),29.73866,6.71369,obergypten
oxyrhynchos cluster (161),31.72219,16.25326,oxyrhynchos
philadelphia cluster (36),33.62761,8.71832,philadelphia
theben cluster (78),33.23028,19.01125,theben
unbekannt cluster (1),44.85,31.10714,unbekannt
unknown cluster (8),36.8255,4.46572,unknown
wdi_fawkhir cluster (1),44.80299,10.60026,wdi_fawkhir
